name,dck1,dck2,dck3,pd1,pd2,pd3,pg1,pg2,pg3,rd1,rd2,rd3,rg1,rg2,rg3,sov1,sov2,sov3,yd1,yd2,yd3,yg1,yg2,yg3
RPS22A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RPS22B,824,645,639,42,39,5,57,42,11,30,78,20,87,37,28,645,3381,756,358,383,305,83,99,77
RPS24A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
RPS24B,1098,536,600,233,321,501,6242,7679,4436,119,96,92,6180,6390,11389,64,268,84,3642,2375,3644,5819,6623,4419
RPS25A,339,300,208,44,1,61,69,63,109,236,0,90,90,35,76,97,581,89,748,538,458,221,239,117
RPS26B,866,828,721,0,39,117,55,61,42,60,79,12,81,93,50,815,3670,721,528,447,358,134,174,86
RPS27A,366,322,310,505,115,330,335,130,176,295,45,189,330,152,183,124,403,75,924,489,737,421,326,183
RPS27B,95,33,15,0,2,2,2,0,15,0,0,0,6,2,14,170,904,177,106,165,74,91,182,26
RPS28A,374,138,188,0,189,0,46,16,0,0,29,0,25,14,0,368,1780,457,214,121,121,41,33,12
RPS28B,351,282,381,77,10,211,129,98,96,68,29,10,169,70,181,202,1144,302,599,408,578,486,605,289
RPS29A,561,245,205,3,29,38,68,48,93,27,46,2,24,100,52,158,618,172,350,404,331,278,366,163
RPS30A,171,63,106,200,93,195,87,134,170,85,102,99,191,96,625,293,1311,405,317,344,326,534,818,444
RPS30B,1355,1019,893,448,446,439,234,237,322,178,225,390,301,316,474,1120,4821,1122,1196,933,981,474,536,222
RPS4A,1036,734,878,71,23,87,39,37,18,34,40,36,65,24,43,337,1686,408,614,557,512,63,152,84
RPS6A,354,358,419,0,0,0,0,0,1,1,0,5,4,3,0,1267,2676,797,66,76,45,4,18,2
RPS6B,325,349,260,4,0,0,7,0,0,40,0,0,8,1,0,388,1029,253,87,92,49,28,14,3
RPS7A,63,10,28,0,0,0,0,0,0,0,0,0,0,0,0,139,265,21,2,25,4,0,2,2
RPS7B,10,14,16,7,2,0,4,0,0,0,2,4,0,2,0,4,68,4,10,0,10,0,0,2
RPS8A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS9A,1,1,0,1,0,1,0,0,1,1,1,0,0,0,3,0,0,0,1,1,0,2,1,0
RPS9B,73,79,36,0,0,0,0,0,0,0,0,0,0,0,0,36,71,30,9,34,8,2,4,0
RPT4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RQC1,1164,1275,953,1112,1295,1539,1500,1359,988,1972,987,880,1567,1360,1614,390,1465,291,2478,1753,1686,1628,1789,751
RRD1,26,31,15,40,19,81,32,35,21,12,14,26,30,31,47,91,241,62,37,18,24,41,52,44
RRD2,433,236,237,159,588,172,108,314,120,186,334,186,129,325,176,29,322,22,379,621,253,247,441,86
RRF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
RRG1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0
RRG7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
